"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3199","Valid login","chromium","2026-09-20","passed","2026-09-20","","login.spec.js","",""
"","18264","handle JS Alerts","chromium","2026-09-20","passed","2026-09-20","","jsalerts.spec.js","",""
"","11505","handle JS Confirm","chromium","2026-09-20","passed","2026-09-20","","jsalerts.spec.js","",""
"","18698","handle JS Prompt","chromium","2026-09-20","passed","2026-09-20","","jsalerts.spec.js","",""
"","11461","Verify dropdown","chromium","2026-09-20","failed","2026-09-20","","dropdown.spec.js","",""
"","9384","Verify Keyboard Activities","chromium","2026-09-20","passed","2026-09-20","","keyboradactivities.spec.js","",""
"","19699","Mouse hover test","chromium","2026-09-20","passed","2026-09-20","","mouseHover.spec.js","",""
"","1903","Verify error message for invalid login","chromium","2026-09-20","passed","2026-09-20","","verifyErrorMessage.spec.js","",""
"","13723","Verify Google Title","chromium","2026-09-20","passed","2026-09-20","","google.spec.js","",""
"","15445","handle frames","chromium","2026-09-20","passed","2026-09-20","","handleframe.spec.js","",""
"","969","My First Test","chromium","2026-09-20","passed","2026-09-20","","sample.spec.js","",""
"","845","My Third Test","chromium","2026-09-20","passed","2026-09-20","","sample.spec.js","",""
"","1","My Second Test","chromium","2026-09-20","skipped","2026-09-20","","sample.spec.js","",""
"","3596","login test","chromium","2026-09-20","passed","2026-09-20","","practice.spec.ts","",""
"","14343","test","chromium","2026-09-20","passed","2026-09-20","","codegen.spec.js","",""
